suburb_canonical,bedrooms,listing_type,N_sale,median_sale_price,mean_sale_price,p25_sale_price,p75_sale_price,median_usable_area,median_price_per_m2,median_monthly_condo_fee,missing_rate_condo,median_yearly_iptu,missing_rate_iptu,faixa_vivareal
Canto da Praia,1,apartamento,7,780000.0,671400.0,602500.0,795000.0,50.0,14220.689655172413,500.0,0.5714285714285714,100.0,0.42857142857142855,pequeno_5-19
Canto da Praia,2,apartamento,14,1221806.5,1218329.4285714286,1207999.75,1417000.0,87.5,14270.114942528737,1.0,0.0,1.0,0.07142857142857142,pequeno_5-19
Canto da Praia,3,apartamento,66,1769930.0,1982125.1363636365,1507500.0,2349900.0,116.0,15050.505050505051,0.0,0.3484848484848485,0.0,0.3787878787878788,grande_50+
Canto da Praia,3,casa,16,2970000.0,3340630.0625,2950000.0,3575000.0,200.0,14795.0,40.5,0.125,1150.0,0.125,pequeno_5-19
Canto da Praia,4,apartamento,14,4874765.0,6199858.571428572,3070000.0,7187250.0,196.0,25493.743949394942,0.5,0.2857142857142857,0.5,0.2857142857142857,pequeno_5-19
Canto da Praia,4,casa,7,5851023.0,7241720.857142857,5670511.5,6200000.0,305.0,18333.333333333332,1.0,0.2857142857142857,100.0,0.2857142857142857,pequeno_5-19
Canto da Praia,5,apartamento,2,7650000.0,7650000.0,7650000.0,7650000.0,350.0,21857.14285714286,,1.0,0.0,0.5,critico_<5
Canto da Praia,5,casa,4,7575000.0,7575000.0,7500000.0,7650000.0,350.0,21642.857142857145,0.5,0.5,0.5,0.5,critico_<5
Casa Branca,0,outros,1,2800000.0,2800000.0,2800000.0,2800000.0,2278.0,1229.1483757682176,0.0,0.0,3434.0,0.0,critico_<5
Casa Branca,0,terreno,26,1257500.0,1577530.3846153845,766500.0,2549842.5,379.0,2000.0,0.0,0.5,0.0,0.4230769230769231,medio_20-49
Casa Branca,2,apartamento,20,655000.0,660875.5,588500.0,717250.0,69.5,9714.285714285714,300.0,0.45,100.0,0.4,medio_20-49
Casa Branca,2,casa,5,730000.0,670000.0,650000.0,730000.0,120.0,6250.0,0.0,0.8,0.0,0.8,pequeno_5-19
Casa Branca,2,outros,1,1100000.0,1100000.0,1100000.0,1100000.0,200.0,5500.0,,1.0,1.0,0.0,critico_<5
Casa Branca,3,apartamento,7,778000.0,1856806.5714285714,732557.0,1412266.0,70.0,10658.771428571428,0.0,0.5714285714285714,0.0,0.5714285714285714,pequeno_5-19
Casa Branca,3,casa,19,5800000.0,4535859.47368421,1244500.0,7249500.0,300.0,16704.057279236276,125.5,0.15789473684210525,300.0,0.21052631578947367,pequeno_5-19
Casa Branca,3,outros,1,7499630.0,7499630.0,7499630.0,7499630.0,440.0,17044.613636363636,1.0,0.0,2600.0,0.0,critico_<5
Casa Branca,4,casa,13,3790000.0,6062180.0,3489650.0,12000000.0,272.0,13904.382470119523,131.0,0.3076923076923077,66.0,0.23076923076923078,pequeno_5-19
Casa Branca,6,casa,1,2348670.0,2348670.0,2348670.0,2348670.0,450.0,5219.266666666666,1.0,0.0,1700.0,0.0,critico_<5
