suburb_low,N,ADR,unav,rev,dim,snapshot,bedr,listing_type,faixa_amostral
,110,427.0,0.2802197802197802,10591.5,bedrooms,2025-01-20,1.0,,grande_50+
,262,450.0,0.38461538461538464,14560.5,bedrooms,2025-01-20,2.0,,grande_50+
,340,650.0,0.3956043956043956,20000.0,bedrooms,2025-01-20,3.0,,grande_50+
,53,900.0,0.4725274725274725,33110.0,bedrooms,2025-01-20,4.0,,grande_50+
,2,1200.0,0.4230769230769231,35250.0,bedrooms,2025-01-20,5.0,,critico_<5
,2,2581.25,0.11538461538461539,23887.5,bedrooms,2025-01-20,6.0,,critico_<5
,1,2500.0,0.31868131868131866,72500.0,bedrooms,2025-01-20,12.0,,critico_<5
alto sao bento,1,280.0,0.3076923076923077,7840.0,full,2025-01-20,1.0,apartamento,critico_<5
alto sao bento,1,199.0,0.4725274725274725,8557.0,full,2025-01-20,2.0,apartamento,critico_<5
alto sao bento,1,2500.0,0.31868131868131866,72500.0,full,2025-01-20,12.0,casa,critico_<5
areal,1,556.0,0.5934065934065934,30024.0,full,2025-01-20,1.0,casa,critico_<5
canto da praia,4,509.0,0.31868131868131866,15243.0,full,2025-01-20,2.0,apartamento,critico_<5
canto da praia,1,307.625,0.6923076923076923,19380.375,full,2025-01-20,3.0,apartamento,critico_<5
casa branca,1,300.0,0.3626373626373626,9900.0,full,2025-01-20,1.0,casa,critico_<5
casa branca,4,260.0,0.4010989010989011,8322.5,full,2025-01-20,2.0,apartamento,critico_<5
casa branca,2,403.0,0.3791208791208791,14922.0,full,2025-01-20,3.0,apartamento,critico_<5
centro,75,450.0,0.26373626373626374,10416.0,full,2025-01-20,1.0,apartamento,grande_50+
centro,1,283.0,0.8791208791208791,22640.0,full,2025-01-20,1.0,casa,critico_<5
centro,3,179.0,0.3516483516483517,4800.0,full,2025-01-20,1.0,outros,critico_<5
centro,59,600.0,0.32967032967032966,15000.0,full,2025-01-20,2.0,apartamento,grande_50+
centro,1,250.0,0.5824175824175825,13250.0,full,2025-01-20,2.0,casa,critico_<5
centro,38,664.0,0.36813186813186816,24369.0,full,2025-01-20,3.0,apartamento,medio_20-49
centro,1,450.0,0.7912087912087912,32400.0,full,2025-01-20,4.0,apartamento,critico_<5
centro,2,1400.0,0.3516483516483516,36800.0,full,2025-01-20,4.0,casa,critico_<5
ilhota,2,345.5,0.08241758241758242,2575.5,full,2025-01-20,1.0,apartamento,critico_<5
ilhota,1,585.0,0.24175824175824176,12870.0,full,2025-01-20,2.0,apartamento,critico_<5
ilhota,1,210.0,0.6813186813186813,13020.0,full,2025-01-20,2.0,casa,critico_<5
ilhota,2,595.0,0.14835164835164835,7665.0,full,2025-01-20,3.0,casa,critico_<5
ilhota,1,946.0,0.4725274725274725,40678.0,full,2025-01-20,4.0,casa,critico_<5
meia praia,7,380.0,0.3076923076923077,9262.4,full,2025-01-20,0.0,apartamento,pequeno_5-19
meia praia,16,440.0,0.36813186813186816,14838.75,full,2025-01-20,1.0,apartamento,pequeno_5-19
meia praia,1,195.0,0.25274725274725274,4485.0,full,2025-01-20,1.0,casa,critico_<5
meia praia,3,170.0,0.0989010989010989,1530.0,full,2025-01-20,1.0,outros,critico_<5
meia praia,126,448.0,0.42857142857142855,15925.0,full,2025-01-20,2.0,apartamento,grande_50+
meia praia,1,100.0,0.3516483516483517,3200.0,full,2025-01-20,2.0,outros,critico_<5
meia praia,284,650.0,0.4065934065934066,20000.0,full,2025-01-20,3.0,apartamento,grande_50+
meia praia,43,899.0,0.4725274725274725,31941.0,full,2025-01-20,4.0,apartamento,medio_20-49
meia praia,1,500.0,0.3516483516483517,16000.0,full,2025-01-20,4.0,casa,critico_<5
meia praia,1,900.0,0.8241758241758241,67500.0,full,2025-01-20,5.0,apartamento,critico_<5
missing/unknown,3,786.6667,0.0989010989010989,5544.0,full,2025-01-20,-1.0,,critico_<5
morretes,3,400.0,0.8681318681318682,27650.0,full,2025-01-20,1.0,apartamento,critico_<5
morretes,43,453.5,0.31868131868131866,12650.0,full,2025-01-20,2.0,apartamento,medio_20-49
